Distance to closest modifier, Stress
3.64688,5.14622e+07
3.90325,1.17859e+08
3.17462,1.12881e+08
2.35247,1.46723e+08
2.36351,1.44965e+08
2.37005,1.40675e+08
2.86722,1.19264e+08
3.00271,1.45301e+08
2.85312,1.41689e+08
3.44584,1.17625e+08
3.15832,6.33952e+07
2.35084,9.45011e+07
2.32386,1.15459e+08
4.12419,1.25772e+08
2.37156,1.51554e+08
3.67549,1.2953e+08
2.30011,1.60474e+08
5.18856,1.29867e+08
3.95034,1.17802e+08
3.0764,1.21221e+08
4.97296,8.69194e+07
3.25208,1.32226e+08
2.56387,1.19466e+08
2.95066,1.19314e+08
3.37978,1.2443e+08
2.82864,1.13113e+08
2.34449,1.56718e+08
3.12219,1.57625e+08
3.19729,6.50967e+07
2.36729,9.98137e+07
3.28848,2.21117e+07
2.33269,4.70057e+07
2.33672,1.57914e+08
4.31399,9.22442e+07
2.67367,9.7906e+07
2.32939,9.51839e+07
2.65743,1.74787e+08
2.81085,1.40054e+08
3.34189,1.44955e+08
